2025-11-27 17:16:36.124340  |  [OK] APLAPOLLO    | TF:W
2025-11-27 17:16:36.696552  |  [OK] IEX          | TF:W
2025-11-27 17:16:37.149876  |  [OK] APOLLOHOSP   | TF:W
2025-11-27 17:16:37.726906  |  [OK] IGL          | TF:W
2025-11-27 17:16:38.150850  |  [OK] ASHOKLEY     | TF:W
2025-11-27 17:16:38.643799  |  [OK] IIFL         | TF:W
2025-11-27 17:16:39.222205  |  [OK] ASIANPAINT   | TF:W
2025-11-27 17:16:39.807947  |  [OK] INDIGO       | TF:W
2025-11-27 17:16:40.135375  |  [OK] ASTRAL       | TF:W
2025-11-27 17:16:40.651747  |  [OK] INDUSINDBK   | TF:W
2025-11-27 17:16:41.274165  |  [OK] AUBANK       | TF:W
2025-11-27 17:16:41.619674  |  [OK] INDUSTOWER   | TF:W
2025-11-27 17:16:42.376756  |  [OK] AUROPHARMA   | TF:W
2025-11-27 17:16:42.669889  |  [OK] INFY         | TF:W
2025-11-27 17:16:43.133508  |  [OK] AXISBANK     | TF:W
2025-11-27 17:16:43.674250  |  [OK] INOXWIND     | TF:W
2025-11-27 17:16:44.293983  |  [OK] BAJAJ_AUTO   | TF:W
2025-11-27 17:16:44.658923  |  [OK] IOC          | TF:W
2025-11-27 17:16:45.145448  |  [OK] BAJAJFINSV   | TF:W
2025-11-27 17:16:45.737592  |  [OK] IRCTC        | TF:W
2025-11-27 17:16:46.158391  |  [OK] BAJFINANCE   | TF:W
2025-11-27 17:16:46.748794  |  [OK] IREDA        | TF:W
2025-11-27 17:16:47.206776  |  [OK] BANDHANBNK   | TF:W
2025-11-27 17:16:47.598414  |  [OK] IRFC         | TF:W
2025-11-27 17:16:48.152265  |  [OK] BANKBARODA   | TF:W
2025-11-27 17:16:48.843113  |  [OK] ITC          | TF:W
2025-11-27 17:16:49.288510  |  [OK] BANKINDIA    | TF:W
2025-11-27 17:16:49.843047  |  [OK] JINDALSTEL   | TF:W
2025-11-27 17:16:50.106897  |  [OK] BDL          | TF:W
2025-11-27 17:16:50.587361  |  [OK] JIOFIN       | TF:W
2025-11-27 17:16:51.344475  |  [OK] BEL          | TF:W
2025-11-27 17:16:51.626048  |  [OK] JSWENERGY    | TF:W
2025-11-27 17:16:52.297741  |  [OK] BHARATFORG   | TF:W
2025-11-27 17:16:52.859418  |  [OK] JSWSTEEL     | TF:W
2025-11-27 17:16:53.152149  |  [OK] BHARTIARTL   | TF:W
2025-11-27 17:16:53.725496  |  [OK] JUBLFOOD     | TF:W
2025-11-27 17:16:54.167310  |  [OK] BHEL         | TF:W
2025-11-27 17:16:54.661868  |  [OK] KALYANKJIL   | TF:W
2025-11-27 17:16:55.148564  |  [OK] BIOCON       | TF:W
2025-11-27 17:16:55.589368  |  [OK] KAYNES       | TF:W
2025-11-27 17:16:56.143285  |  [OK] BLUESTARCO   | TF:W
2025-11-27 17:16:56.632910  |  [OK] KEI          | TF:W
2025-11-27 17:16:57.280831  |  [OK] BOSCHLTD     | TF:W
2025-11-27 17:16:57.589610  |  [OK] KFINTECH     | TF:W
2025-11-27 17:16:58.168947  |  [OK] BPCL         | TF:W
2025-11-27 17:16:58.641525  |  [OK] KOTAKBANK    | TF:W
2025-11-27 17:16:59.105723  |  [OK] PIDILITIND   | TF:M
2025-11-27 17:16:59.601547  |  [OK] KPITTECH     | TF:W
2025-11-27 17:17:00.265352  |  [OK] PERSISTENT   | TF:M
2025-11-27 17:17:00.608536  |  [OK] LAURUSLABS   | TF:W
2025-11-27 17:17:01.263554  |  [OK] PETRONET     | TF:M
2025-11-27 17:17:01.791454  |  [OK] LICHSGFIN    | TF:W
2025-11-27 17:17:02.276616  |  [OK] LTIM         | TF:M
2025-11-27 17:17:02.760983  |  [OK] LICI         | TF:W
2025-11-27 17:17:03.181678  |  [OK] INDIANB      | TF:M
2025-11-27 17:17:03.850355  |  [OK] LODHA        | TF:W
2025-11-27 17:17:04.105578  |  [OK] INDHOTEL     | TF:M
2025-11-27 17:17:04.698730  |  [OK] LT           | TF:W
2025-11-27 17:17:05.100880  |  [OK] HFCL         | TF:M
2025-11-27 17:17:05.759336  |  [OK] LTF          | TF:W
2025-11-27 17:17:06.099725  |  [OK] HAVELLS      | TF:M
2025-11-27 17:17:06.817603  |  [OK] LUPIN        | TF:W
2025-11-27 17:17:07.244419  |  [OK] BRITANNIA    | TF:M
2025-11-27 17:17:07.737885  |  [OK] M&M          | TF:W
2025-11-27 17:17:08.142462  |  [OK] BSE          | TF:M
2025-11-27 17:17:08.625597  |  [OK] MANAPPURAM   | TF:W
2025-11-27 17:17:09.084254  |  [OK] CAMS         | TF:M
2025-11-27 17:17:09.587860  |  [OK] MANKIND      | TF:W
2025-11-27 17:17:10.102207  |  [OK] CANBK        | TF:M
2025-11-27 17:17:10.718237  |  [OK] MARICO       | TF:W
2025-11-27 17:17:11.085917  |  [OK] CDSL         | TF:M
2025-11-27 17:17:11.775760  |  [OK] MARUTI       | TF:W
2025-11-27 17:17:12.198976  |  [OK] CGPOWER      | TF:M
2025-11-27 17:17:12.830143  |  [OK] MAXHEALTH    | TF:W
2025-11-27 17:17:13.242899  |  [OK] CHOLAFIN     | TF:M
2025-11-27 17:17:13.649905  |  [OK] MAZDOCK      | TF:W
2025-11-27 17:17:14.120270  |  [OK] CIPLA        | TF:M
2025-11-27 17:17:14.625614  |  [OK] MCX          | TF:W
2025-11-27 17:17:15.095139  |  [OK] COALINDIA    | TF:M
2025-11-27 17:17:16.099295  |  [OK] COFORGE      | TF:M
2025-11-27 17:17:16.383531  |  [OK] MFSL         | TF:W
2025-11-27 17:17:16.671922  |  [OK] COLPAL       | TF:M
2025-11-27 17:17:17.155000  |  [OK] MOTHERSON    | TF:W
2025-11-27 17:17:17.705001  |  [OK] CONCOR       | TF:M
